Mesh_size,Length_group,Wedged ,Tangled
20,14,2,2
20,16,20,5
20,18,15,12
20,20,11,8
20,22,20,18
20,24,32,24
20,26,23,31
20,28,8,19
20,30,2,8
20,32,,2
20,34,,6
20,36,,3
20,38,,2
20,40,,3
20,42,,0
20,44,,0
20,46,,0
25,14,,1
25,16,,4
25,18,1,3
25,20,5,10
25,22,34,31
25,24,60,40
25,26,37,21
25,28,13,9
25,30,5,5
25,32,1,
25,34,1,1
25,36,,5
25,38,,1
25,40,,
25,42,,1
25,44,,
25,46,,
30,14,,
30,16,,2
30,18,,3
30,20,,5
30,22,2,5
30,24,8,9
30,26,25,11
30,28,15,7
30,30,9,5
30,32,3,6
30,34,2,2
30,36,1,4
30,38,,4
30,40,,1
30,42,,
30,44,,
30,46,,
